GO Term,Description,P-value,FDR q-value,Enrichment,N,B,n,b,Genes
GO:0060284,regulation of cell development,4.10E-05,1.01E-02,2.96,12835,932,79,17,"[Nrg3  -  neuregulin 3, Bcl11b  -  b cell leukemia/lymphoma 11b, Fat3  -  fat tumor suppressor homolog 3 (drosophila), Erbb4  -  v-erb-a erythroblastic leukemia viral oncogene homolog 4 (avian), Dleu2  -  deleted in lymphocytic leukemia, 2, Dlx1  -  distal-less homeobox 1, Cdc20  -  cell division cycle 20, Gli2  -  gli-kruppel family member gli2, Epha3  -  eph receptor a3, Nrg1  -  neuregulin 1, Cdon  -  cell adhesion molecule-related/down-regulated by oncogenes, Plxna2  -  plexin a2, Bcl11a  -  b cell cll/lymphoma 11a (zinc finger protein), Tcf4  -  transcription factor 4, Pbx1  -  pre b cell leukemia homeobox 1, Sfrp1  -  secreted frizzled-related protein 1, Ascl1  -  achaete-scute complex homolog 1 (drosophila)]"
GO:0009891,positive regulation of biosynthetic process,4.11E-05,9.92E-03,2.47,12835,1448,79,22,"[Nfib  -  nuclear factor i/b, Meis2  -  meis homeobox 2, Dlx6os1  -  dlx6 opposite strand rna 1, Bcl11b  -  b cell leukemia/lymphoma 11b, Zbtb18  -  zinc finger and btb domain containing 18, Erbb4  -  v-erb-a erythroblastic leukemia viral oncogene homolog 4 (avian), Dlx1  -  distal-less homeobox 1, Tead2  -  tea domain family member 2, Gli2  -  gli-kruppel family member gli2, Abcd2  -  atp-binding cassette, sub-family d (ald), member 2, Nrg1  -  neuregulin 1, Rps3a1  -  ribosomal protein s3a1, Cdon  -  cell adhesion molecule-related/down-regulated by oncogenes, Mllt3  -  myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, drosophila); translocated to, 3, Sox6  -  sry-box containing gene 6, Tcf4  -  transcription factor 4, Pbx1  -  pre b cell leukemia homeobox 1, Sfrp1  -  secreted frizzled-related protein 1, Satb2  -  special at-rich sequence binding protein 2, Maf  -  avian musculoaponeurotic fibrosarcoma (v-maf) as42 oncogene homolog, Ascl1  -  achaete-scute complex homolog 1 (drosophila), Zbtb20  -  zinc finger and btb domain containing 20]"
GO:0043043,peptide biosynthetic process,4.63E-05,1.10E-02,5.32,12835,275,79,9,"[Rpl28  -  ribosomal protein l28, Rps26  -  ribosomal protein s26, Rps29  -  ribosomal protein s29, Rps3a1  -  ribosomal protein s3a1, Rpsa  -  ribosomal protein sa, Rpl8  -  ribosomal protein l8, Rpl37a  -  ribosomal protein l37a, Rpl7  -  ribosomal protein l7, Rps16  -  ribosomal protein s16]"
GO:0060218,hematopoietic stem cell differentiation,4.74E-05,1.11E-02,40.62,12835,12,79,3,"[Mllt3  -  myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, drosophila); translocated to, 3, Cdk6  -  cyclin-dependent kinase 6, Sfrp1  -  secreted frizzled-related protein 1]"
GO:1903508,positive regulation of nucleic acid-templated transcription,4.75E-05,1.09E-02,2.7,12835,1143,79,19,"[Nfib  -  nuclear factor i/b, Meis2  -  meis homeobox 2, Dlx6os1  -  dlx6 opposite strand rna 1, Bcl11b  -  b cell leukemia/lymphoma 11b, Zbtb18  -  zinc finger and btb domain containing 18, Erbb4  -  v-erb-a erythroblastic leukemia viral oncogene homolog 4 (avian), Dlx1  -  distal-less homeobox 1, Tead2  -  tea domain family member 2, Gli2  -  gli-kruppel family member gli2, Nrg1  -  neuregulin 1, Cdon  -  cell adhesion molecule-related/down-regulated by oncogenes, Mllt3  -  myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, drosophila); translocated to, 3, Sox6  -  sry-box containing gene 6, Tcf4  -  transcription factor 4, Pbx1  -  pre b cell leukemia homeobox 1, Sfrp1  -  secreted frizzled-related protein 1, Satb2  -  special at-rich sequence binding protein 2, Maf  -  avian musculoaponeurotic fibrosarcoma (v-maf) as42 oncogene homolog, Ascl1  -  achaete-scute complex homolog 1 (drosophila)]"
GO:0045893,"positive regulation of transcription, DNA-templated",4.75E-05,1.08E-02,2.7,12835,1143,79,19,"[Nfib  -  nuclear factor i/b, Meis2  -  meis homeobox 2, Dlx6os1  -  dlx6 opposite strand rna 1, Bcl11b  -  b cell leukemia/lymphoma 11b, Zbtb18  -  zinc finger and btb domain containing 18, Erbb4  -  v-erb-a erythroblastic leukemia viral oncogene homolog 4 (avian), Dlx1  -  distal-less homeobox 1, Tead2  -  tea domain family member 2, Gli2  -  gli-kruppel family member gli2, Nrg1  -  neuregulin 1, Cdon  -  cell adhesion molecule-related/down-regulated by oncogenes, Mllt3  -  myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, drosophila); translocated to, 3, Sox6  -  sry-box containing gene 6, Tcf4  -  transcription factor 4, Pbx1  -  pre b cell leukemia homeobox 1, Sfrp1  -  secreted frizzled-related protein 1, Satb2  -  special at-rich sequence binding protein 2, Maf  -  avian musculoaponeurotic fibrosarcoma (v-maf) as42 oncogene homolog, Ascl1  -  achaete-scute complex homolog 1 (drosophila)]"
GO:1902680,positive regulation of RNA biosynthetic process,4.81E-05,1.07E-02,2.7,12835,1144,79,19,"[Nfib  -  nuclear factor i/b, Meis2  -  meis homeobox 2, Dlx6os1  -  dlx6 opposite strand rna 1, Bcl11b  -  b cell leukemia/lymphoma 11b, Zbtb18  -  zinc finger and btb domain containing 18, Erbb4  -  v-erb-a erythroblastic leukemia viral oncogene homolog 4 (avian), Dlx1  -  distal-less homeobox 1, Tead2  -  tea domain family member 2, Gli2  -  gli-kruppel family member gli2, Nrg1  -  neuregulin 1, Cdon  -  cell adhesion molecule-related/down-regulated by oncogenes, Mllt3  -  myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, drosophila); translocated to, 3, Sox6  -  sry-box containing gene 6, Tcf4  -  transcription factor 4, Pbx1  -  pre b cell leukemia homeobox 1, Sfrp1  -  secreted frizzled-related protein 1, Satb2  -  special at-rich sequence binding protein 2, Maf  -  avian musculoaponeurotic fibrosarcoma (v-maf) as42 oncogene homolog, Ascl1  -  achaete-scute complex homolog 1 (drosophila)]"
GO:0016477,cell migration,4.92E-05,1.08E-02,3.41,12835,667,79,14,"[Bcl11b  -  b cell leukemia/lymphoma 11b, Fat3  -  fat tumor suppressor homolog 3 (drosophila), Erbb4  -  v-erb-a erythroblastic leukemia viral oncogene homolog 4 (avian), Pdgfra  -  platelet derived growth factor receptor, alpha polypeptide, Epha3  -  eph receptor a3, Nrg1  -  neuregulin 1, Kank2  -  kn motif and ankyrin repeat domains 2, Msn  -  moesin, Syne2  -  spectrin repeat containing, nuclear envelope 2, Plxna2  -  plexin a2, Celsr1  -  cadherin, egf lag seven-pass g-type receptor 1 (flamingo homolog, drosophila), Gpc4  -  glypican 4, Satb2  -  special at-rich sequence binding protein 2, Ascl1  -  achaete-scute complex homolog 1 (drosophila)]"
GO:0031327,negative regulation of cellular biosynthetic process,5.17E-05,1.12E-02,2.68,12835,1150,79,19,"[Suz12  -  suppressor of zeste 12 homolog (drosophila), Nfib  -  nuclear factor i/b, Hnrnpr  -  heterogeneous nuclear ribonucleoprotein r, Zbtb18  -  zinc finger and btb domain containing 18, Foxp4  -  forkhead box p4, Dlx1  -  distal-less homeobox 1, Gli2  -  gli-kruppel family member gli2, Nrg1  -  neuregulin 1, Kank2  -  kn motif and ankyrin repeat domains 2, Sox6  -  sry-box containing gene 6, Bcl11a  -  b cell cll/lymphoma 11a (zinc finger protein), Tcf4  -  transcription factor 4, Cdk6  -  cyclin-dependent kinase 6, Sfrp1  -  secreted frizzled-related protein 1, Satb2  -  special at-rich sequence binding protein 2, Basp1  -  brain abundant, membrane attached signal protein 1, Maf  -  avian musculoaponeurotic fibrosarcoma (v-maf) as42 oncogene homolog, Ascl1  -  achaete-scute complex homolog 1 (drosophila), Zbtb20  -  zinc finger and btb domain containing 20]"
GO:0043604,amide biosynthetic process,5.95E-05,1.27E-02,4.59,12835,354,79,10,"[Rpl28  -  ribosomal protein l28, Rps26  -  ribosomal protein s26, Rps29  -  ribosomal protein s29, Rps3a1  -  ribosomal protein s3a1, B3galt1  -  udp-gal:betaglcnac beta 1,3-galactosyltransferase, polypeptide 1, Rpsa  -  ribosomal protein sa, Rpl8  -  ribosomal protein l8, Rpl37a  -  ribosomal protein l37a, Rpl7  -  ribosomal protein l7, Rps16  -  ribosomal protein s16]"
GO:0009954,proximal/distal pattern formation,6.14E-05,1.29E-02,37.49,12835,13,79,3,"[Pbx1  -  pre b cell leukemia homeobox 1, Dlx1  -  distal-less homeobox 1, Gli2  -  gli-kruppel family member gli2]"
GO:0002181,cytoplasmic translation,7.52E-05,1.56E-02,17.56,12835,37,79,4,"[Rps26  -  ribosomal protein s26, Rps29  -  ribosomal protein s29, Rpsa  -  ribosomal protein sa, Rpl8  -  ribosomal protein l8]"
GO:0010001,glial cell differentiation,7.88E-05,1.61E-02,11.28,12835,72,79,5,"[Suz12  -  suppressor of zeste 12 homolog (drosophila), Nrg1  -  neuregulin 1, Nfib  -  nuclear factor i/b, Sox6  -  sry-box containing gene 6, Ascl1  -  achaete-scute complex homolog 1 (drosophila)]"
GO:0045935,positive regulation of nucleobase-containing compound metabolic process,7.99E-05,1.61E-02,2.43,12835,1402,79,21,"[Nfib  -  nuclear factor i/b, Hnrnpr  -  heterogeneous nuclear ribonucleoprotein r, Meis2  -  meis homeobox 2, Dlx6os1  -  dlx6 opposite strand rna 1, Bcl11b  -  b cell leukemia/lymphoma 11b, Zbtb18  -  zinc finger and btb domain containing 18, Erbb4  -  v-erb-a erythroblastic leukemia viral oncogene homolog 4 (avian), Dlx1  -  distal-less homeobox 1, Tead2  -  tea domain family member 2, Gli2  -  gli-kruppel family member gli2, Nrg1  -  neuregulin 1, Cdon  -  cell adhesion molecule-related/down-regulated by oncogenes, Mllt3  -  myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, drosophila); translocated to, 3, Sox6  -  sry-box containing gene 6, Tcf4  -  transcription factor 4, Pbx1  -  pre b cell leukemia homeobox 1, Sfrp1  -  secreted frizzled-related protein 1, Satb2  -  special at-rich sequence binding protein 2, Maf  -  avian musculoaponeurotic fibrosarcoma (v-maf) as42 oncogene homolog, Ascl1  -  achaete-scute complex homolog 1 (drosophila), Zbtb20  -  zinc finger and btb domain containing 20]"
GO:0045944,positive regulation of transcription by RNA polymerase II,9.14E-05,1.81E-02,2.9,12835,895,79,16,"[Nfib  -  nuclear factor i/b, Meis2  -  meis homeobox 2, Dlx6os1  -  dlx6 opposite strand rna 1, Bcl11b  -  b cell leukemia/lymphoma 11b, Zbtb18  -  zinc finger and btb domain containing 18, Dlx1  -  distal-less homeobox 1, Tead2  -  tea domain family member 2, Gli2  -  gli-kruppel family member gli2, Nrg1  -  neuregulin 1, Cdon  -  cell adhesion molecule-related/down-regulated by oncogenes, Sox6  -  sry-box containing gene 6, Tcf4  -  transcription factor 4, Pbx1  -  pre b cell leukemia homeobox 1, Satb2  -  special at-rich sequence binding protein 2, Maf  -  avian musculoaponeurotic fibrosarcoma (v-maf) as42 oncogene homolog, Ascl1  -  achaete-scute complex homolog 1 (drosophila)]"
GO:0040011,locomotion,9.64E-05,1.89E-02,3.03,12835,803,79,15,"[Nrg3  -  neuregulin 3, Bcl11b  -  b cell leukemia/lymphoma 11b, Fat3  -  fat tumor suppressor homolog 3 (drosophila), Erbb4  -  v-erb-a erythroblastic leukemia viral oncogene homolog 4 (avian), Pdgfra  -  platelet derived growth factor receptor, alpha polypeptide, Epha3  -  eph receptor a3, Nrg1  -  neuregulin 1, Kank2  -  kn motif and ankyrin repeat domains 2, Syne2  -  spectrin repeat containing, nuclear envelope 2, Msn  -  moesin, Plxna2  -  plexin a2, Celsr1  -  cadherin, egf lag seven-pass g-type receptor 1 (flamingo homolog, drosophila), Gpc4  -  glypican 4, Satb2  -  special at-rich sequence binding protein 2, Ascl1  -  achaete-scute complex homolog 1 (drosophila)]"
GO:0048468,cell development,1.20E-04,2.32E-02,3.56,12835,547,79,12,"[Heg1  -  heg homolog 1 (zebrafish), Msn  -  moesin, Sox6  -  sry-box containing gene 6, Bcl11b  -  b cell leukemia/lymphoma 11b, Neb  -  nebulin, Zbtb18  -  zinc finger and btb domain containing 18, Pbx1  -  pre b cell leukemia homeobox 1, Cdk6  -  cyclin-dependent kinase 6, Satb2  -  special at-rich sequence binding protein 2, Gli2  -  gli-kruppel family member gli2, Maf  -  avian musculoaponeurotic fibrosarcoma (v-maf) as42 oncogene homolog, Ascl1  -  achaete-scute complex homolog 1 (drosophila)]"
GO:0021915,neural tube development,1.25E-04,2.37E-02,15.47,12835,42,79,4,"[Itpk1  -  inositol 1,3,4-triphosphate 5/6 kinase, Plxna2  -  plexin a2, Sfrp1  -  secreted frizzled-related protein 1, Gli2  -  gli-kruppel family member gli2]"
GO:0010557,positive regulation of macromolecule biosynthetic process,1.33E-04,2.50E-02,2.42,12835,1342,79,20,"[Nfib  -  nuclear factor i/b, Meis2  -  meis homeobox 2, Dlx6os1  -  dlx6 opposite strand rna 1, Bcl11b  -  b cell leukemia/lymphoma 11b, Zbtb18  -  zinc finger and btb domain containing 18, Erbb4  -  v-erb-a erythroblastic leukemia viral oncogene homolog 4 (avian), Dlx1  -  distal-less homeobox 1, Tead2  -  tea domain family member 2, Gli2  -  gli-kruppel family member gli2, Nrg1  -  neuregulin 1, Rps3a1  -  ribosomal protein s3a1, Cdon  -  cell adhesion molecule-related/down-regulated by oncogenes, Mllt3  -  myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, drosophila); translocated to, 3, Sox6  -  sry-box containing gene 6, Tcf4  -  transcription factor 4, Pbx1  -  pre b cell leukemia homeobox 1, Sfrp1  -  secreted frizzled-related protein 1, Satb2  -  special at-rich sequence binding protein 2, Maf  -  avian musculoaponeurotic fibrosarcoma (v-maf) as42 oncogene homolog, Ascl1  -  achaete-scute complex homolog 1 (drosophila)]"
GO:0032989,cellular component morphogenesis,1.37E-04,2.54E-02,3.79,12835,471,79,11,"[Epha5  -  eph receptor a5, Nrg1  -  neuregulin 1, Heg1  -  heg homolog 1 (zebrafish), Nfib  -  nuclear factor i/b, Ctnnd2  -  catenin (cadherin associated protein), delta 2, Sox6  -  sry-box containing gene 6, Cdh8  -  cadherin 8, Bcl11b  -  b cell leukemia/lymphoma 11b, Fat3  -  fat tumor suppressor homolog 3 (drosophila), Sfrp1  -  secreted frizzled-related protein 1, Gli2  -  gli-kruppel family member gli2]"
GO:0048870,cell motility,1.45E-04,2.66E-02,3.08,12835,738,79,14,"[Bcl11b  -  b cell leukemia/lymphoma 11b, Fat3  -  fat tumor suppressor homolog 3 (drosophila), Erbb4  -  v-erb-a erythroblastic leukemia viral oncogene homolog 4 (avian), Pdgfra  -  platelet derived growth factor receptor, alpha polypeptide, Epha3  -  eph receptor a3, Nrg1  -  neuregulin 1, Kank2  -  kn motif and ankyrin repeat domains 2, Msn  -  moesin, Syne2  -  spectrin repeat containing, nuclear envelope 2, Plxna2  -  plexin a2, Celsr1  -  cadherin, egf lag seven-pass g-type receptor 1 (flamingo homolog, drosophila), Gpc4  -  glypican 4, Satb2  -  special at-rich sequence binding protein 2, Ascl1  -  achaete-scute complex homolog 1 (drosophila)]"
GO:0051252,regulation of RNA metabolic process,1.58E-04,2.87E-02,1.9,12835,2562,79,30,"[Rps26  -  ribosomal protein s26, Nfib  -  nuclear factor i/b, Hnrnpr  -  heterogeneous nuclear ribonucleoprotein r, Meis2  -  meis homeobox 2, Dlx6os1  -  dlx6 opposite strand rna 1, Bcl11b  -  b cell leukemia/lymphoma 11b, Aff3  -  af4/fmr2 family, member 3, Erbb4  -  v-erb-a erythroblastic leukemia viral oncogene homolog 4 (avian), Dlx1  -  distal-less homeobox 1, Kank2  -  kn motif and ankyrin repeat domains 2, Cdon  -  cell adhesion molecule-related/down-regulated by oncogenes, Mllt3  -  myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, drosophila); translocated to, 3, Sox6  -  sry-box containing gene 6, Tcf4  -  transcription factor 4, Pbx1  -  pre b cell leukemia homeobox 1, Cdk6  -  cyclin-dependent kinase 6, Satb2  -  special at-rich sequence binding protein 2, Zbtb20  -  zinc finger and btb domain containing 20, Ascl1  -  achaete-scute complex homolog 1 (drosophila), Suz12  -  suppressor of zeste 12 homolog (drosophila), Zbtb18  -  zinc finger and btb domain containing 18, Foxp4  -  forkhead box p4, Tead2  -  tea domain family member 2, Gli2  -  gli-kruppel family member gli2, Epha5  -  eph receptor a5, Nrg1  -  neuregulin 1, Bcl11a  -  b cell cll/lymphoma 11a (zinc finger protein), Sfrp1  -  secreted frizzled-related protein 1, Basp1  -  brain abundant, membrane attached signal protein 1, Maf  -  avian musculoaponeurotic fibrosarcoma (v-maf) as42 oncogene homolog]"
GO:0007156,homophilic cell adhesion via plasma membrane adhesion molecules,1.64E-04,2.94E-02,9.67,12835,84,79,5,"[Celsr1  -  cadherin, egf lag seven-pass g-type receptor 1 (flamingo homolog, drosophila), Cdh8  -  cadherin 8, Clstn2  -  calsyntenin 2, Fat3  -  fat tumor suppressor homolog 3 (drosophila), Dscaml1  -  down syndrome cell adhesion molecule like 1]"
GO:0007411,axon guidance,1.70E-04,3.00E-02,5.95,12835,191,79,7,"[Epha5  -  eph receptor a5, Nfib  -  nuclear factor i/b, Boc  -  biregional cell adhesion molecule-related/down-regulated by oncogenes (cdon) binding protein, Bcl11b  -  b cell leukemia/lymphoma 11b, Gli2  -  gli-kruppel family member gli2, Dscaml1  -  down syndrome cell adhesion molecule like 1, Epha3  -  eph receptor a3]"
GO:0097485,neuron projection guidance,1.81E-04,3.16E-02,5.89,12835,193,79,7,"[Epha5  -  eph receptor a5, Nfib  -  nuclear factor i/b, Boc  -  biregional cell adhesion molecule-related/down-regulated by oncogenes (cdon) binding protein, Bcl11b  -  b cell leukemia/lymphoma 11b, Gli2  -  gli-kruppel family member gli2, Dscaml1  -  down syndrome cell adhesion molecule like 1, Epha3  -  eph receptor a3]"
GO:0009893,positive regulation of metabolic process,1.94E-04,3.34E-02,1.85,12835,2721,79,31,"[Nfib  -  nuclear factor i/b, Hnrnpr  -  heterogeneous nuclear ribonucleoprotein r, Meis2  -  meis homeobox 2, Dlx6os1  -  dlx6 opposite strand rna 1, Bcl11b  -  b cell leukemia/lymphoma 11b, Erbb4  -  v-erb-a erythroblastic leukemia viral oncogene homolog 4 (avian), Pdgfra  -  platelet derived growth factor receptor, alpha polypeptide, Dlx1  -  distal-less homeobox 1, Rps3a1  -  ribosomal protein s3a1, Cdon  -  cell adhesion molecule-related/down-regulated by oncogenes, Mllt3  -  myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, drosophila); translocated to, 3, Sox6  -  sry-box containing gene 6, Tcf4  -  transcription factor 4, Pbx1  -  pre b cell leukemia homeobox 1, Cdk6  -  cyclin-dependent kinase 6, Satb2  -  special at-rich sequence binding protein 2, Zbtb20  -  zinc finger and btb domain containing 20, Ascl1  -  achaete-scute complex homolog 1 (drosophila), Iqgap3  -  iq motif containing gtpase activating protein 3, Zbtb18  -  zinc finger and btb domain containing 18, Tead2  -  tea domain family member 2, Gli2  -  gli-kruppel family member gli2, Cdc20  -  cell division cycle 20, Epha3  -  eph receptor a3, Epha5  -  eph receptor a5, Abcd2  -  atp-binding cassette, sub-family d (ald), member 2, Nrg1  -  neuregulin 1, Msn  -  moesin, Bcl11a  -  b cell cll/lymphoma 11a (zinc finger protein), Sfrp1  -  secreted frizzled-related protein 1, Maf  -  avian musculoaponeurotic fibrosarcoma (v-maf) as42 oncogene homolog]"
GO:0006355,"regulation of transcription, DNA-templated",2.08E-04,3.55E-02,1.94,12835,2343,79,28,"[Nfib  -  nuclear factor i/b, Meis2  -  meis homeobox 2, Dlx6os1  -  dlx6 opposite strand rna 1, Bcl11b  -  b cell leukemia/lymphoma 11b, Aff3  -  af4/fmr2 family, member 3, Erbb4  -  v-erb-a erythroblastic leukemia viral oncogene homolog 4 (avian), Dlx1  -  distal-less homeobox 1, Kank2  -  kn motif and ankyrin repeat domains 2, Cdon  -  cell adhesion molecule-related/down-regulated by oncogenes, Mllt3  -  myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, drosophila); translocated to, 3, Sox6  -  sry-box containing gene 6, Tcf4  -  transcription factor 4, Pbx1  -  pre b cell leukemia homeobox 1, Cdk6  -  cyclin-dependent kinase 6, Satb2  -  special at-rich sequence binding protein 2, Zbtb20  -  zinc finger and btb domain containing 20, Ascl1  -  achaete-scute complex homolog 1 (drosophila), Suz12  -  suppressor of zeste 12 homolog (drosophila), Zbtb18  -  zinc finger and btb domain containing 18, Foxp4  -  forkhead box p4, Tead2  -  tea domain family member 2, Gli2  -  gli-kruppel family member gli2, Epha5  -  eph receptor a5, Nrg1  -  neuregulin 1, Bcl11a  -  b cell cll/lymphoma 11a (zinc finger protein), Sfrp1  -  secreted frizzled-related protein 1, Basp1  -  brain abundant, membrane attached signal protein 1, Maf  -  avian musculoaponeurotic fibrosarcoma (v-maf) as42 oncogene homolog]"
GO:0042475,odontogenesis of dentin-containing tooth,2.11E-04,3.55E-02,13.54,12835,48,79,4,"[Bcl11b  -  b cell leukemia/lymphoma 11b, Pdgfra  -  platelet derived growth factor receptor, alpha polypeptide, Dlx1  -  distal-less homeobox 1, Gli2  -  gli-kruppel family member gli2]"
GO:1903506,regulation of nucleic acid-templated transcription,2.15E-04,3.57E-02,1.94,12835,2347,79,28,"[Nfib  -  nuclear factor i/b, Meis2  -  meis homeobox 2, Dlx6os1  -  dlx6 opposite strand rna 1, Bcl11b  -  b cell leukemia/lymphoma 11b, Aff3  -  af4/fmr2 family, member 3, Erbb4  -  v-erb-a erythroblastic leukemia viral oncogene homolog 4 (avian), Dlx1  -  distal-less homeobox 1, Kank2  -  kn motif and ankyrin repeat domains 2, Cdon  -  cell adhesion molecule-related/down-regulated by oncogenes, Mllt3  -  myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, drosophila); translocated to, 3, Sox6  -  sry-box containing gene 6, Tcf4  -  transcription factor 4, Pbx1  -  pre b cell leukemia homeobox 1, Cdk6  -  cyclin-dependent kinase 6, Satb2  -  special at-rich sequence binding protein 2, Zbtb20  -  zinc finger and btb domain containing 20, Ascl1  -  achaete-scute complex homolog 1 (drosophila), Suz12  -  suppressor of zeste 12 homolog (drosophila), Zbtb18  -  zinc finger and btb domain containing 18, Foxp4  -  forkhead box p4, Tead2  -  tea domain family member 2, Gli2  -  gli-kruppel family member gli2, Epha5  -  eph receptor a5, Nrg1  -  neuregulin 1, Bcl11a  -  b cell cll/lymphoma 11a (zinc finger protein), Sfrp1  -  secreted frizzled-related protein 1, Basp1  -  brain abundant, membrane attached signal protein 1, Maf  -  avian musculoaponeurotic fibrosarcoma (v-maf) as42 oncogene homolog]"
GO:0014043,negative regulation of neuron maturation,2.23E-04,3.67E-02,81.23,12835,4,79,2,"[Bcl11a  -  b cell cll/lymphoma 11a (zinc finger protein), Dleu2  -  deleted in lymphocytic leukemia, 2]"
GO:0021778,oligodendrocyte cell fate specification,2.23E-04,3.62E-02,81.23,12835,4,79,2,"[Sox6  -  sry-box containing gene 6, Ascl1  -  achaete-scute complex homolog 1 (drosophila)]"
GO:0021780,glial cell fate specification,2.23E-04,3.58E-02,81.23,12835,4,79,2,"[Sox6  -  sry-box containing gene 6, Ascl1  -  achaete-scute complex homolog 1 (drosophila)]"
GO:0021529,spinal cord oligodendrocyte cell differentiation,2.23E-04,3.54E-02,81.23,12835,4,79,2,"[Sox6  -  sry-box containing gene 6, Ascl1  -  achaete-scute complex homolog 1 (drosophila)]"
GO:2001141,regulation of RNA biosynthetic process,2.26E-04,3.56E-02,1.93,12835,2354,79,28,"[Nfib  -  nuclear factor i/b, Meis2  -  meis homeobox 2, Dlx6os1  -  dlx6 opposite strand rna 1, Bcl11b  -  b cell leukemia/lymphoma 11b, Aff3  -  af4/fmr2 family, member 3, Erbb4  -  v-erb-a erythroblastic leukemia viral oncogene homolog 4 (avian), Dlx1  -  distal-less homeobox 1, Kank2  -  kn motif and ankyrin repeat domains 2, Cdon  -  cell adhesion molecule-related/down-regulated by oncogenes, Mllt3  -  myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, drosophila); translocated to, 3, Sox6  -  sry-box containing gene 6, Tcf4  -  transcription factor 4, Pbx1  -  pre b cell leukemia homeobox 1, Cdk6  -  cyclin-dependent kinase 6, Satb2  -  special at-rich sequence binding protein 2, Zbtb20  -  zinc finger and btb domain containing 20, Ascl1  -  achaete-scute complex homolog 1 (drosophila), Suz12  -  suppressor of zeste 12 homolog (drosophila), Zbtb18  -  zinc finger and btb domain containing 18, Foxp4  -  forkhead box p4, Tead2  -  tea domain family member 2, Gli2  -  gli-kruppel family member gli2, Epha5  -  eph receptor a5, Nrg1  -  neuregulin 1, Bcl11a  -  b cell cll/lymphoma 11a (zinc finger protein), Sfrp1  -  secreted frizzled-related protein 1, Basp1  -  brain abundant, membrane attached signal protein 1, Maf  -  avian musculoaponeurotic fibrosarcoma (v-maf) as42 oncogene homolog]"
GO:2000736,regulation of stem cell differentiation,2.47E-04,3.85E-02,13,12835,50,79,4,"[Sox6  -  sry-box containing gene 6, Pdgfra  -  platelet derived growth factor receptor, alpha polypeptide, Cdk6  -  cyclin-dependent kinase 6, Tead2  -  tea domain family member 2]"
GO:0000902,cell morphogenesis,2.62E-04,4.04E-02,5.55,12835,205,79,7,"[Nrg1  -  neuregulin 1, Heg1  -  heg homolog 1 (zebrafish), Cdh8  -  cadherin 8, Sox6  -  sry-box containing gene 6, Bcl11b  -  b cell leukemia/lymphoma 11b, Fat3  -  fat tumor suppressor homolog 3 (drosophila), Sfrp1  -  secreted frizzled-related protein 1]"
GO:0031325,positive regulation of cellular metabolic process,2.70E-04,4.12E-02,1.88,12835,2507,79,29,"[Nfib  -  nuclear factor i/b, Hnrnpr  -  heterogeneous nuclear ribonucleoprotein r, Meis2  -  meis homeobox 2, Dlx6os1  -  dlx6 opposite strand rna 1, Bcl11b  -  b cell leukemia/lymphoma 11b, Erbb4  -  v-erb-a erythroblastic leukemia viral oncogene homolog 4 (avian), Pdgfra  -  platelet derived growth factor receptor, alpha polypeptide, Dlx1  -  distal-less homeobox 1, Rps3a1  -  ribosomal protein s3a1, Cdon  -  cell adhesion molecule-related/down-regulated by oncogenes, Mllt3  -  myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, drosophila); translocated to, 3, Sox6  -  sry-box containing gene 6, Tcf4  -  transcription factor 4, Pbx1  -  pre b cell leukemia homeobox 1, Satb2  -  special at-rich sequence binding protein 2, Zbtb20  -  zinc finger and btb domain containing 20, Ascl1  -  achaete-scute complex homolog 1 (drosophila), Iqgap3  -  iq motif containing gtpase activating protein 3, Zbtb18  -  zinc finger and btb domain containing 18, Tead2  -  tea domain family member 2, Gli2  -  gli-kruppel family member gli2, Cdc20  -  cell division cycle 20, Epha3  -  eph receptor a3, Epha5  -  eph receptor a5, Abcd2  -  atp-binding cassette, sub-family d (ald), member 2, Nrg1  -  neuregulin 1, Msn  -  moesin, Sfrp1  -  secreted frizzled-related protein 1, Maf  -  avian musculoaponeurotic fibrosarcoma (v-maf) as42 oncogene homolog]"
GO:0060429,epithelium development,2.75E-04,4.14E-02,6.68,12835,146,79,6,"[Kank2  -  kn motif and ankyrin repeat domains 2, Heg1  -  heg homolog 1 (zebrafish), Itpk1  -  inositol 1,3,4-triphosphate 5/6 kinase, Plxna2  -  plexin a2, Sfrp1  -  secreted frizzled-related protein 1, Gli2  -  gli-kruppel family member gli2]"
